Digits,E_Operations,PI_Operations
1,11,41
2,14,46
3,20,51
4,23,51
5,26,66
6,29,71
7,32,71
8,35,71
9,38,71
10,41,71
11,44,71
12,44,76
13,47,92
14,50,92
15,53,92
16,56,92
17,56,92
18,59,92
19,62,92
20,65,92
21,65,108
22,68,108
23,71,108
24,74,108
25,74,113
26,77,113
27,80,113
28,80,113
29,83,130
30,86,130
31,89,130
32,89,130
33,92,130
34,95,130
35,95,130
36,98,130
37,101,147
38,101,147
39,104,147
40,104,147
41,107,147
42,110,147
43,110,147
44,113,147
45,116,165
46,116,165
47,119,165
48,122,165
49,122,170
50,125,170
51,125,170
52,128,170
53,131,187
54,131,187
55,134,187
56,134,187
57,137,187
58,140,187
59,140,187
60,143,187
61,143,205
62,146,205
63,149,205
64,149,205
65,152,205
66,152,205
67,155,205
68,158,205
69,158,223
70,161,223
71,161,223
72,164,223
73,164,223
74,167,223
75,170,223
76,170,223
77,173,242
78,173,242
79,176,242
80,176,242
81,179,242
82,182,242
83,182,242
84,185,242
85,185,260
86,188,260
87,188,260
88,191,260
89,191,260
90,194,260
91,197,260
92,197,260
93,200,279
94,200,279
95,203,279
96,203,279
97,206,279
98,206,284
99,209,284
100,209,284
