Digits,E_Operations,PI_Operations
1,11,41
2,14,46
3,20,51
4,23,51
5,26,66
6,29,71
7,32,71
8,35,71
9,38,71
10,41,71
11,44,71
12,44,76
13,47,92
14,50,92
15,53,92
16,56,92
17,56,92
18,59,92
19,62,92
20,65,92
21,65,108
22,68,108
23,71,108
24,74,108
25,74,113
26,77,113
27,80,113
28,80,113
29,83,130
30,86,130
31,89,130
32,89,130
33,92,130
34,95,130
35,95,130
36,98,130
37,101,147
38,101,147
39,104,147
40,104,147
41,107,147
42,110,147
43,110,147
44,113,147
45,116,165
46,116,165
47,119,165
48,122,165
49,122,170
50,125,170
51,125,170
52,128,170
53,131,187
54,131,187
55,134,187
56,134,187
57,137,187
58,140,187
59,140,187
60,143,187
61,143,205
62,146,205
63,149,205
64,149,205
65,152,205
66,152,205
67,155,205
68,158,205
69,158,223
70,161,223
71,161,223
72,164,223
73,164,223
74,167,223
75,170,223
76,170,223
77,173,242
78,173,242
79,176,242
80,176,242
81,179,242
82,182,242
83,182,242
84,185,242
85,185,260
86,188,260
87,188,260
88,191,260
89,191,260
90,194,260
91,197,260
92,197,260
93,200,279
94,200,279
95,203,279
96,203,279
97,206,279
98,206,284
99,209,284
100,209,284
101,212,303
102,215,303
103,215,303
104,218,303
105,218,303
106,221,303
107,221,303
108,224,303
109,224,323
110,227,323
111,227,323
112,230,323
113,230,323
114,233,323
115,233,323
116,236,323
117,239,341
118,239,341
119,242,341
120,242,341
121,245,341
122,245,341
123,248,341
124,248,341
125,251,360
126,251,360
127,254,360
128,254,360
129,257,360
130,257,360
131,260,360
132,260,360
133,263,379
134,263,379
135,266,379
136,266,379
137,269,379
138,269,379
139,272,379
140,272,379
141,275,399
142,275,399
143,278,399
144,278,399
145,281,399
146,281,399
147,284,399
148,284,399
149,287,418
150,290,418
151,290,418
152,293,418
153,293,418
154,296,418
155,296,418
156,299,418
157,299,438
158,302,438
159,302,438
160,305,438
161,305,438
162,308,438
163,308,438
164,311,438
165,311,458
166,311,458
167,314,458
168,314,458
169,317,458
170,317,458
171,320,458
172,320,458
173,323,479
174,323,479
175,326,479
176,326,479
177,329,479
178,329,479
179,332,479
180,332,479
181,335,498
182,335,498
183,338,498
184,338,498
185,341,498
186,341,498
187,344,498
188,344,498
189,347,518
190,347,518
191,350,518
192,350,518
193,353,518
194,353,518
195,356,518
196,356,523
197,359,543
198,359,543
199,362,543
200,362,543
201,365,543
202,365,543
203,368,543
204,368,543
205,368,564
206,371,564
207,371,564
208,374,564
209,374,564
210,377,564
211,377,564
212,380,564
213,380,584
214,383,584
215,383,584
216,386,584
217,386,584
218,389,584
219,389,584
220,392,584
221,392,605
222,395,605
223,395,605
224,395,605
225,398,605
226,398,605
227,401,605
228,401,605
229,404,626
230,404,626
231,407,626
232,407,626
233,410,626
234,410,626
235,413,626
236,413,626
237,416,648
238,416,648
239,419,648
240,419,648
241,419,648
242,422,648
243,422,648
244,425,648
245,425,667
246,428,667
247,428,667
248,431,667
249,431,667
250,434,667
251,434,667
252,437,667
253,437,687
254,437,687
255,440,687
256,440,687
257,443,687
258,443,687
259,446,687
260,446,687
261,449,707
262,449,707
263,452,707
264,452,707
265,455,707
266,455,707
267,455,707
268,458,707
269,458,728
270,461,728
271,461,728
272,464,728
273,464,728
274,467,728
275,467,728
276,470,728
277,470,748
278,470,748
279,473,748
280,473,748
281,476,748
282,476,748
283,479,748
284,479,748
285,482,769
286,482,769
287,485,769
288,485,769
289,485,769
290,488,769
291,488,769
292,491,769
293,491,790
294,494,790
295,494,790
296,497,790
297,497,790
